Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
2118;Braye;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
2119;Brécy;10.4;10.1;39.1;20.3
2120;Brenelle;0;20.5;29.2;19.9
2121;Breny;11.7;23.4;64.9;0
2122;Brie;0;50;25.1;25
2123;Brissay-Choigny;0;29.8;19.4;31.6
2124;Brissy-Hamégicourt;16.7;16.7;0;16.6
2125;Brumetz;0;66.6;16.8;16.6
2126;Brunehamel;15.1;29.6;9.9;30
2127;Bruyères-sur-Fère;27.5;53.4;0;0
2128;Bruyères-et-Montbérault;4.9;26.5;29.6;8.9
2129;Bruys;0;0;24.9;0
2130;Bucilly;0;50.2;0;24.9
2131;Bucy-le-Long;8.5;13.2;52.7;7.7
2132;Bucy-lès-Cerny;0;50;0;0
2133;Bucy-lès-Pierrepont;0;24.9;12.5;24.7
2134;Buire;2.5;49.5;30.6;2.6
