C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
414.631;389.829;1450.48;1937.29;366
489.565;416.23;1564.13;1589.86;367
337.799;772.767;1734.48;2160.6;368
476.597;633.743;1638.55;1380.09;369
302.488;329.731;1694.67;1264.73;370
1007.66;490.478;1572.34;881.435;371
276.116;344.057;1522.79;1593.88;372
379.118;419.83;1577.46;1759.37;373
371.895;571.642;1685.27;1708.13;374
436.506;702.454;1205;1874.43;375
433.364;613.264;1472.29;1088.67;376
488.579;351.065;1586.29;1335;377
317.659;275.143;1272.37;1385.2;378
445.077;464.123;1198.84;3117.64;379
298.819;365.062;1258.71;1514.7;380
310.241;432.401;1409.58;1496.37;381
422.446;451.695;1592.67;1229.38;382
382.168;366.533;1254.4;1273.63;383
990.584;887.147;1804.49;1152.6;384
409.524;203.975;1222.55;1283.28;385
481.341;314.145;1483.13;1397.17;386
392.826;448.531;1569.44;2720.2;387
605.739;416.779;1393.35;1225.48;388
224.768;409.021;1330.11;1607.72;389
563.65;659.21;1628.46;1648.71;390
355.422;624.944;1575.2;1253.93;391
434.608;672.68;1176.74;1475.55;392
423.856;438.577;1614.92;1246.59;393
499.824;936.605;1368.71;1051.47;394
490.957;562.795;1290.1;1077.43;395
360.793;451.815;1378.42;1288.11;396
388.856;373.62;1310.04;1714.18;397
383.245;461.2;1480.09;866.474;398
331.482;814.94;1460.01;1252.67;399
331.72;381.249;1435.16;1705.33;400
331.78;332.173;1398.6;1916.57;401
187.256;251.801;1360.62;1610.14;402
391.994;342.339;1152.78;1660.27;403
480.352;480.867;1521.96;1154.91;404
964.063;536.378;1813.53;1311.7;405
497.339;347.643;1113.95;1040.25;406
411.993;396.488;1162.78;1093.37;407
976.692;982.19;1887.56;840.187;408
186.035;338.782;1351.11;1543.26;409
566.602;421.69;1353.07;769.257;410
275.814;426.524;1072.34;2305.74;411
637.993;370.28;1126.1;901.823;412
229.945;536.305;1269.65;1503.52;413
460.781;613.719;1518.01;639.823;414
322.556;398.775;1209.64;1398.16;415
331.623;246.769;1319.49;1484.75;416
235.923;450.645;1212.44;1190.88;417
428.664;481.919;1368.27;1103.51;418
407.416;444.975;1288.74;978.292;419
449.414;593.215;1357.04;1384.11;420
431.228;468.838;1216.57;1067.17;421
333.526;442.509;1131.36;2062.89;422
551.315;370.734;1430.73;1587.73;423
216.924;364.831;1472.74;1428.78;424
426.315;329.53;1466.35;948.737;425
242.776;500.6;1344.15;1718.73;426
653.363;433.21;1530.7;834.17;427
372.542;432.723;967.988;1378.3;428
253.963;295.531;1076.02;1920.05;429
760.859;319.692;2362.64;702.735;430
283.191;923.614;1376.02;1293.16;431
598.523;464.343;1441.28;1169.08;432
393.333;447.359;1429.72;1809.42;433
453.042;404.003;1043.65;1478.77;434
346.756;380.309;1219.8;734.171;435
279.733;249.672;1120.94;1356.03;436
389.659;362.656;1144.86;1398.52;437
439.697;522.483;1917.6;1632.7;438
381.903;248.954;1373.23;1026.45;439
529.781;357.685;1253.06;1101.54;440
298.511;257.737;1113.79;1450.4;441
315.509;399.237;1071.25;1257.46;442
372.275;360.845;1343.28;665.696;443
401.589;305.68;974.981;630.689;444
291.833;205.29;1005.02;2054.05;445
360.066;620.738;1144.83;1090.95;446
236.412;226.238;901.191;1553.81;447
204.007;353.086;1278.9;1138.88;448
249.644;292.438;1132.96;1231.87;449
210.928;229.004;1078.3;1334.08;450
331.566;185.261;1186.69;1470.38;451
193.738;270.484;1139.35;996.503;452
532.631;274.166;962.108;627.031;453
134.557;215.478;2387.76;1103.94;454
435.18;314.722;1143.45;1039.03;455
424.911;524.112;1192.71;957.402;456
401.419;271.794;1061.73;1169.72;457
394.727;564.871;1119.64;650.238;458
628.812;703.908;897.39;688.801;459
265.377;416.713;1057.19;1279.04;460
169.642;260.33;1139.41;1267.63;461
282.143;277.917;1060.21;1304.28;462
411.521;354.064;1148.24;641.842;463
495.851;263.307;958.177;838.714;464
291.741;231.419;1273.14;975.485;465
